PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,3
156065,3
156066,3
156067,3
156068,2
156069,1
156070,1
156071,1
156072,1
156073,1
156074,2
156075,1
156076,0
156077,1
156078,0
156079,0
156080,2
156081,1
156082,2
156083,0
156084,2
156085,1
156086,2
156087,2
156088,2
156089,0
156090,1
156091,0
156092,3
156093,3
156094,2
156095,1
156096,1
156097,3
156098,3
156099,2
156100,2
156101,2
156102,1
156103,1
156104,1
156105,1
156106,1
156107,1
156108,2
156109,1
156110,1
156111,0
156112,1
156113,3
156114,3
156115,2
156116,2
156117,1
156118,1
156119,1
156120,1
156121,0
156122,1
156123,2
156124,1
156125,2
156126,2
156127,2
156128,0
156129,1
156130,0
156131,1
156132,3
156133,1
156134,1
156135,1
156136,3
156137,2
156138,3
156139,1
156140,1
156141,1
156142,1
156143,3
156144,1
156145,1
156146,1
156147,2
156148,1
156149,1
156150,1
156151,1
156152,1
156153,1
156154,2
156155,1
156156,1
156157,1
156158,2
156159,1
156160,1
156161,1
156162,1
156163,1
156164,1
156165,2
156166,2
156167,2
156168,2
156169,1
156170,1
156171,2
156172,2
156173,2
156174,2
156175,2
156176,1
156177,1
156178,4
156179,1
156180,4
156181,4
156182,1
156183,4
156184,1
156185,4
156186,2
156187,2
156188,3
156189,1
156190,3
156191,2
156192,2
156193,2
156194,2
156195,1
156196,2
156197,2
156198,2
156199,1
156200,1
156201,4
156202,2
156203,4
156204,1
156205,4
156206,2
156207,4
156208,2
156209,2
156210,2
156211,2
156212,2
156213,2
156214,1
156215,1
156216,2
156217,2
156218,1
156219,3
156220,1
156221,3
156222,3
156223,1
156224,1
156225,1
156226,1
156227,1
156228,1
156229,2
156230,1
156231,2
156232,2
156233,1
156234,1
156235,1
156236,4
156237,2
156238,0
156239,1
156240,3
156241,2
156242,1
156243,2
156244,2
156245,2
156246,1
156247,2
156248,1
156249,1
156250,4
156251,4
156252,4
156253,4
156254,4
156255,1
156256,1
156257,1
156258,2
156259,1
156260,4
156261,2
156262,2
156263,2
156264,2
156265,2
156266,3
156267,1
156268,2
156269,1
156270,1
156271,1
156272,2
156273,1
156274,2
156275,2
156276,1
156277,1
156278,4
156279,4
156280,3
156281,3
156282,2
156283,1
156284,2
156285,1
156286,2
156287,2
156288,2
